Segment,Keywords
356,"right, really, want, time, things"
357,"want, time, think, things, talk"
358,"going, want, lot, really, just"
359,"don, say, things, want, time"
360,"english, things, time, want, think"
361,"want, time, think, things, talk"
362,"really, want, lot, time, things"
363,"want, time, think, things, talk"
364,"just, want, think, time, things"
365,"people, like, want, time, things"
366,"really, lot, just, know, think"
367,"want, time, think, things, talk"
368,"really, time, good, know, just"
369,"talk, want, time, think, things"
370,"really, good, think, want, things"
371,"time, just, like, lot, going"
372,"like, things, good, know, really"
373,"listening, lot, time, just, things"
374,"going, say, know, want, things"
375,"think, want, time, things, talk"
376,"like, really, good, different, things"
377,"want, time, think, things, talk"
378,"really, good, things, like, know"
379,"things, want, time, think, talk"
380,"really, different, things, lot, just"
381,"talk, going, want, time, things"
382,"time, think, want, things, talk"
383,"want, time, think, things, talk"
384,"talk, want, think, time, things"
385,"talk, going, time, listening, right"
386,"listening, time, just, say, really"
387,"say, don, want, time, things"
388,"people, like, don, talk, time"
389,"time, just, think, want, things"
390,"say, good, right, really, people"
391,"say, going, know, just, talk"
392,"people, want, think, time, things"
393,"want, time, think, things, talk"
394,"say, really, people, want, things"
395,"people, going, really, think, like"
396,"people, right, really, don, just"
397,"people, talk, want, really, going"
398,"say, people, think, want, things"
399,"good, want, think, time, things"
400,"really, people, like, talk, don"
401,"talk, english, think, want, things"
402,"want, people, talk, going, things"
403,"lot, just, want, time, things"
404,"say, want, think, time, things"
405,"people, going, want, time, things"
406,"going, lot, like, talk, time"
407,"just, talk, going, time, people"
408,"going, want, people, like, things"
409,"really, want, think, time, things"
410,"listening, english, want, time, things"
411,"people, want, think, time, things"
412,"just, people, think, want, things"
413,"want, time, think, things, talk"
414,"people, say, like, really, don"
415,"people, don, want, time, things"
416,"really, think, talk, say, know"
417,"talk, say, lot, things, really"
418,"want, time, think, things, talk"
419,"listening, english, talk, time, people"
420,"want, time, think, things, talk"
421,"people, say, don, just, think"
422,"think, good, say, just, things"
423,"right, say, lot, just, things"
424,"want, time, think, things, talk"
425,"time, listening, different, know, things"
426,"really, just, people, different, going"
427,"just, want, think, time, things"
428,"just, want, think, time, things"
429,"english, know, really, want, things"
430,"talk, things, just, people, think"
431,"really, know, things, people, think"
432,"think, things, just, like, know"
433,"think, good, things, don, want"
434,"like, want, think, time, things"
435,"things, like, just, want, think"
436,"things, want, time, think, talk"
437,"right, time, really, just, things"
438,"right, really, things, just, think"
439,"going, want, really, good, things"
440,"things, time, really, just, think"
441,"things, think, really, just, good"
442,"really, just, want, don, think"
443,"want, time, think, things, talk"
444,"really, right, know, time, think"
445,"just, really, don, think, good"
446,"good, think, lot, people, like"
447,"think, good, people, right, different"
448,"things, think, don, really, going"
449,"lot, good, right, things, really"
450,"things, think, time, want, talk"
451,"don, want, think, time, things"
452,"right, good, things, just, think"
453,"want, listening, english, things, time"
454,"language, think, listening, different, time"
455,"language, think, time, want, things"
456,"language, right, lot, really, listening"
457,"language, want, think, time, things"
458,"want, time, think, things, talk"
459,"language, right, english, want, things"
460,"english, want, think, time, things"
461,"different, want, think, time, things"
462,"think, language, different, say, know"
463,"right, want, think, time, things"
464,"good, say, want, time, things"
465,"language, right, really, think, things"
466,"want, time, think, things, talk"
467,"language, want, think, time, things"
468,"really, want, think, time, things"
469,"know, different, don, like, things"
470,"language, think, different, lot, really"
471,"language, listening, right, english, want"
472,"english, really, people, want, things"
473,"want, time, think, things, talk"
474,"english, language, listening, want, really"
475,"language, english, think, talk, different"
476,"want, time, think, things, talk"
477,"language, things, really, want, think"
478,"want, time, think, things, talk"
479,"english, know, really, want, things"
480,"want, time, think, things, talk"
481,"language, going, english, different, think"
482,"like, want, think, time, things"
483,"language, english, people, think, talk"
484,"right, want, think, time, things"
485,"going, don, talk, say, think"
486,"language, talk, good, think, things"
487,"want, time, think, things, talk"
488,"language, good, like, want, things"
489,"right, like, want, time, things"
490,"right, want, think, time, things"
491,"different, don, like, english, things"
492,"language, people, good, think, really"
493,"want, time, think, things, talk"
494,"language, think, don, people, things"
495,"english, really, think, want, things"
496,"language, time, listening, talk, right"
497,"language, different, think, listening, time"
498,"different, really, people, want, things"
499,"talk, things, different, lot, time"
500,"time, people, english, say, like"
501,"really, different, people, talk, things"
502,"want, time, think, things, talk"
503,"say, really, just, people, like"
504,"want, time, think, things, talk"
505,"want, time, think, things, talk"
506,"really, lot, don, people, think"
507,"listening, english, people, want, things"
508,"want, time, think, things, talk"
509,"people, things, time, want, think"
510,"different, people, just, lot, really"
511,"like, time, people, lot, listening"
512,"really, don, people, like, things"
513,"people, think, time, want, things"
514,"really, people, going, time, things"
515,"people, like, really, lot, say"
516,"like, want, think, time, things"
517,"really, want, think, time, things"
518,"want, time, think, things, talk"
519,"like, don, things, lot, really"
520,"know, want, think, time, things"
521,"want, time, listening, talk, know"
522,"listening, want, think, time, things"
523,"time, like, think, want, things"
524,"right, lot, people, think, want"
525,"right, want, think, time, things"
526,"just, people, want, time, things"
527,"listening, time, really, language, talk"
528,"want, time, think, things, talk"
529,"want, time, think, things, talk"
530,"think, language, people, want, things"
531,"different, want, think, time, things"
532,"people, language, time, just, like"
533,"don, think, time, want, things"
534,"just, want, think, time, things"
535,"language, want, lot, people, think"
536,"language, really, want, time, things"
537,"english, language, lot, people, good"
538,"talk, time, like, listening, english"
539,"talk, time, really, just, say"
540,"language, really, lot, talk, time"
541,"talk, good, time, just, like"
542,"want, time, think, things, talk"
543,"different, listening, want, talk, good"
544,"want, time, think, things, talk"
545,"want, time, think, things, talk"
546,"people, lot, really, just, good"
547,"think, want, time, things, talk"
548,"want, time, think, things, talk"
549,"listening, time, people, right, really"
550,"going, really, want, time, things"
551,"people, like, want, time, things"
552,"listening, people, right, things, time"
553,"don, want, think, time, things"
554,"want, time, think, things, talk"
555,"people, right, just, language, listening"
556,"want, time, think, things, talk"
557,"want, time, think, things, talk"
558,"english, want, think, time, things"
559,"want, time, think, things, talk"
560,"want, time, think, things, talk"
561,"want, time, think, things, talk"
562,"listening, want, language, time, people"
563,"listening, english, time, talk, going"
564,"know, don, just, right, english"
565,"think, like, different, just, people"
566,"don, know, like, just, say"
567,"just, like, want, time, things"
568,"want, time, think, things, talk"
569,"don, like, want, time, things"
570,"just, want, think, time, things"
571,"just, like, english, say, listening"
572,"don, want, think, time, things"
573,"want, time, think, things, talk"
574,"listening, want, think, time, things"
575,"say, want, think, time, things"
576,"say, want, think, time, things"
577,"don, like, just, say, going"
578,"want, just, listening, good, english"
579,"want, time, think, things, talk"
580,"talk, going, want, time, things"
581,"talk, different, just, know, don"
582,"want, time, think, things, talk"
583,"time, just, talk, say, want"
584,"going, listening, just, like, different"
585,"just, think, listening, want, don"
586,"think, going, know, don, things"
587,"talk, right, things, don, just"
588,"know, don, want, time, things"
589,"different, right, really, don, just"
590,"going, people, think, right, don"
591,"different, english, people, listening, things"
592,"going, know, just, want, things"
593,"like, people, want, time, things"
594,"listening, time, people, like, things"
595,"listening, time, english, like, things"
596,"want, time, think, things, talk"
597,"listening, different, time, people, talk"
598,"listening, english, talk, time, just"
599,"things, different, like, want, people"
600,"things, good, people, lot, like"
601,"like, right, just, people, things"
602,"like, people, right, don, know"
603,"people, want, think, time, things"
604,"good, right, think, want, things"
605,"good, want, think, time, things"
606,"want, time, think, things, talk"
607,"think, right, say, going, don"
608,"right, want, think, time, things"
609,"say, people, good, right, different"
610,"don, want, think, time, things"
611,"different, really, people, say, going"
612,"right, want, think, time, things"
613,"things, good, people, going, like"
614,"good, lot, people, things, think"
615,"good, people, right, say, things"
616,"good, things, people, really, think"
617,"people, good, right, want, think"
618,"talk, right, just, people, things"
619,"talk, good, people, think, things"
620,"people, talk, different, think, right"
621,"want, right, think, time, things"
622,"want, say, just, time, things"
623,"right, things, good, say, just"
624,"right, time, people, want, things"
625,"right, want, good, really, don"
626,"want, time, think, things, talk"
627,"don, people, right, just, say"
628,"want, time, think, things, talk"
629,"good, say, want, really, people"
630,"right, want, think, time, things"
631,"people, right, good, just, think"
632,"right, going, things, just, people"
633,"english, right, know, people, things"
634,"right, want, think, time, things"
635,"listening, right, time, really, things"
636,"want, just, like, time, things"
637,"english, want, think, time, things"
638,"listening, want, time, think, things"
639,"time, listening, right, know, things"
640,"things, think, want, really, talk"
641,"know, just, want, time, things"
642,"things, really, don, right, think"
643,"want, time, think, things, talk"
644,"really, like, want, time, things"
645,"don, people, things, want, lot"
646,"people, talk, just, going, things"
647,"want, time, think, things, talk"
648,"people, good, don, think, talk"
649,"english, want, think, time, things"
650,"english, just, lot, things, don"
651,"listening, english, time, really, things"
652,"things, really, don, different, want"
653,"right, think, time, want, things"
654,"lot, people, listening, different, just"
655,"want, time, think, things, talk"
656,"want, time, think, things, talk"
657,"listening, things, want, time, think"
658,"want, time, think, things, talk"
659,"want, time, think, things, talk"
660,"want, time, think, things, talk"
661,"time, listening, know, want, things"
662,"things, talk, different, want, think"
663,"listening, things, lot, just, like"
664,"want, time, think, things, talk"
665,"people, talk, like, want, things"
666,"don, think, time, want, things"
667,"think, things, don, lot, people"
668,"want, say, know, lot, think"
669,"like, lot, people, want, things"
670,"time, don, just, like, things"
671,"talk, people, things, don, just"
672,"think, things, don, good, different"
673,"like, things, want, just, think"
674,"want, time, think, things, talk"
675,"really, good, right, want, people"
676,"good, people, think, say, want"
677,"listening, want, time, think, things"
678,"want, time, think, things, talk"
679,"know, don, lot, different, like"
680,"want, time, think, things, talk"
681,"know, lot, different, people, language"
682,"think, talk, want, people, things"
683,"want, time, think, things, talk"
684,"know, people, different, just, like"
685,"think, want, don, people, good"
686,"just, think, time, want, things"
687,"think, don, people, want, things"
688,"want, time, think, things, talk"
689,"things, people, don, want, think"
690,"think, don, things, good, just"
691,"want, time, think, things, talk"
692,"things, know, don, people, like"
693,"say, talk, know, people, think"
694,"say, think, talk, going, just"
695,"time, listening, know, want, things"
696,"things, people, talk, different, say"
697,"don, talk, say, want, time"
698,"listening, really, different, people, language"
699,"language, know, think, right, different"
700,"language, just, want, time, things"
701,"just, talk, different, really, like"
702,"different, things, don, think, like"
703,"things, talk, different, don, people"
704,"different, talk, things, say, just"
705,"people, things, know, really, think"
706,"want, time, think, things, talk"
707,"different, right, going, things, lot"
708,"different, going, want, time, things"
709,"like, right, different, want, things"
710,"things, think, time, want, talk"
711,"talk, things, lot, just, good"
712,"want, time, think, things, talk"
713,"things, really, good, different, time"
714,"language, like, good, know, really"
715,"language, really, think, good, english"
716,"listening, different, want, time, really"
717,"people, different, lot, really, don"
718,"different, people, think, things, really"
719,"english, different, want, time, things"
720,"listening, want, think, time, things"
721,"want, time, think, things, talk"
722,"people, different, going, want, lot"
723,"people, like, language, right, say"
724,"listening, want, people, good, lot"
725,"time, listening, right, know, things"
726,"good, talk, want, going, think"
727,"things, don, talk, right, lot"
728,"want, time, think, things, talk"
729,"language, different, going, don, things"
730,"listening, time, right, really, talk"
731,"think, things, people, like, want"
732,"think, want, time, things, talk"
733,"think, different, people, right, don"
734,"different, things, like, really, people"
735,"think, right, going, just, like"
736,"english, people, think, language, different"
737,"language, say, people, want, things"
738,"want, time, think, things, talk"
739,"english, think, language, people, different"
740,"don, think, time, want, things"
741,"english, people, think, right, going"
742,"time, want, think, things, talk"
743,"think, english, don, people, going"
744,"want, time, think, things, talk"
745,"things, people, think, lot, want"
746,"right, think, time, want, things"
747,"things, lot, think, like, say"
748,"think, people, right, going, know"
749,"want, time, think, things, talk"
750,"think, just, people, want, things"
751,"things, right, people, think, like"
752,"english, listening, things, time, like"
753,"things, lot, don, just, people"
754,"right, want, think, time, things"
755,"don, want, think, time, things"
756,"right, time, think, want, things"
757,"right, want, think, time, things"
758,"think, right, different, things, people"
759,"lot, people, different, things, think"
760,"just, want, time, people, things"
761,"things, lot, time, want, think"
762,"think, good, things, really, like"
763,"listening, english, want, time, things"
764,"listening, want, think, time, things"
765,"want, think, time, things, talk"
766,"want, time, think, things, talk"
767,"different, talk, time, listening, know"
768,"want, time, think, things, talk"
769,"like, different, things, want, think"
770,"listening, talk, going, time, english"
771,"time, listening, know, want, things"
772,"like, talk, just, language, things"
773,"language, different, say, really, think"
774,"want, time, think, things, talk"
775,"really, just, good, think, things"
776,"want, time, think, things, talk"
777,"want, time, think, things, talk"
778,"want, time, think, things, talk"
779,"just, like, want, time, things"
780,"english, want, think, time, things"
781,"want, time, think, things, talk"
782,"english, think, time, want, things"
783,"talk, english, say, time, don"
784,"just, time, right, want, think"
785,"right, want, think, time, things"
786,"language, don, like, want, things"
787,"english, think, time, want, things"
788,"really, just, want, time, things"
789,"people, english, want, time, things"
790,"listening, know, like, things, people"
791,"things, right, english, really, like"
792,"really, want, think, time, things"
793,"really, just, right, things, say"
794,"right, time, think, want, things"
795,"like, really, language, english, going"
796,"language, lot, really, just, like"
797,"just, like, good, really, right"
798,"like, good, think, different, really"
799,"want, time, think, things, talk"
800,"want, time, think, things, talk"
801,"like, want, right, just, going"
802,"english, say, really, just, things"
803,"listening, want, time, think, things"
804,"like, english, want, time, things"
805,"really, want, think, time, things"
806,"listening, english, time, language, talk"
807,"want, time, think, things, talk"
808,"listening, time, think, want, things"
809,"think, good, don, like, things"
810,"just, things, want, lot, really"
811,"want, time, think, things, talk"
812,"really, talk, say, going, want"
813,"really, know, want, time, things"
814,"want, time, think, things, talk"
815,"think, talk, different, don, just"
816,"going, really, just, lot, listening"
817,"want, time, think, things, talk"
818,"really, language, want, time, things"
819,"language, going, want, really, things"
820,"like, listening, going, just, things"
821,"want, language, really, don, things"
822,"right, want, think, time, things"
823,"talk, right, say, going, want"
824,"really, just, going, time, things"
825,"good, really, just, think, want"
826,"things, like, time, want, think"
827,"good, different, just, want, things"
828,"want, time, think, things, talk"
829,"talk, different, going, lot, people"
830,"really, just, want, time, things"
831,"want, time, think, things, talk"
832,"know, want, think, time, things"
833,"want, time, think, things, talk"
834,"really, talk, going, listening, different"
835,"people, talk, know, really, like"
836,"want, time, think, things, talk"
837,"want, things, time, think, talk"
838,"listening, english, want, time, think"
839,"going, really, things, know, lot"
840,"want, time, think, things, talk"
841,"right, different, want, time, things"
842,"want, time, think, things, talk"
843,"things, want, time, think, talk"
844,"listening, time, really, english, like"
845,"want, listening, talk, time, people"
846,"time, really, don, just, listening"
847,"lot, listening, language, don, going"
848,"really, want, think, time, things"
849,"listening, language, want, lot, time"
850,"going, listening, right, lot, different"
851,"lot, want, think, time, things"
852,"listening, going, lot, want, things"
853,"want, time, think, things, talk"
854,"want, time, think, things, talk"
855,"want, time, think, things, talk"
856,"language, things, want, just, think"
857,"listening, going, just, talk, time"
858,"listening, language, just, think, english"
859,"language, lot, time, english, different"
860,"listening, want, time, language, right"
861,"things, want, really, think, language"
862,"don, just, want, listening, talk"
863,"really, think, time, want, things"
864,"right, want, don, just, things"
865,"talk, right, know, things, just"
866,"listening, want, time, like, things"
867,"want, time, think, things, talk"
868,"listening, want, time, just, different"
869,"want, don, think, time, things"
870,"good, language, want, think, things"
871,"want, time, think, things, talk"
872,"people, listening, just, want, things"
873,"want, time, think, things, talk"
874,"time, listening, know, want, things"
875,"going, don, language, listening, talk"
876,"want, language, good, say, know"
877,"really, time, just, listening, like"
878,"really, right, think, want, things"
879,"just, know, lot, don, people"
880,"really, good, right, different, know"
881,"right, time, think, want, things"
882,"really, right, different, know, like"
883,"really, different, want, time, things"
884,"different, think, like, want, things"
885,"really, time, just, good, know"
886,"right, different, want, time, things"
887,"time, want, think, things, talk"
888,"really, good, say, just, things"
889,"want, time, think, things, talk"
890,"want, time, think, things, talk"
891,"want, time, think, things, talk"
892,"lot, really, like, good, going"
893,"want, time, think, things, talk"
894,"really, things, lot, good, different"
895,"want, time, think, things, talk"
896,"time, want, think, things, talk"
897,"want, time, think, things, talk"
898,"like, good, different, know, things"
899,"good, want, think, time, things"
900,"different, things, think, like, want"
901,"really, want, think, time, things"
902,"really, good, right, know, just"
903,"good, really, want, time, things"
904,"know, want, think, time, things"
905,"really, good, want, time, things"
906,"really, like, good, things, lot"
907,"listening, english, things, like, think"
908,"really, time, just, want, things"
909,"want, time, think, things, talk"
910,"want, listening, good, different, time"
911,"just, listening, different, want, lot"
912,"want, time, think, things, talk"
913,"listening, want, time, think, things"
914,"time, listening, talk, think, like"
915,"want, time, think, things, talk"
916,"lot, want, think, time, things"
917,"want, time, think, things, talk"
918,"really, like, say, just, things"
919,"really, like, right, just, talk"
920,"different, want, think, time, things"
921,"want, time, think, things, talk"
922,"really, lot, just, like, things"
923,"people, think, time, want, things"
924,"want, time, think, things, talk"
925,"talk, things, like, want, think"
926,"like, different, know, lot, really"
927,"really, just, right, different, know"
928,"want, time, think, things, talk"
929,"really, like, different, lot, listening"
930,"just, like, don, say, know"
931,"just, good, lot, time, want"
932,"want, time, think, things, talk"
933,"listening, good, going, things, want"
934,"know, time, listening, talk, right"
935,"think, right, like, want, things"
936,"right, going, want, time, things"
937,"listening, time, good, want, talk"
938,"things, good, don, think, want"
939,"time, things, think, say, want"
940,"want, things, talk, good, right"
941,"lot, people, think, want, things"
942,"think, time, good, english, say"
943,"want, really, think, right, things"
944,"want, time, think, things, talk"
945,"things, like, good, say, want"
946,"things, think, good, right, lot"
947,"things, think, people, good, right"
948,"want, time, think, things, talk"
949,"think, going, good, just, right"
950,"want, think, right, things, really"
951,"things, just, time, want, think"
952,"things, say, just, think, good"
953,"things, good, really, think, want"
954,"listening, want, really, time, things"
955,"listening, time, think, want, things"
